_init,GFPQQjA=
sub_804a850,GBoA
fileno,EBo=
cli_regcomp,EBo=
fputs,EBo=
abort,EBo=
__errno_location,EBo=
cl_init,EBo=
sprintf,EBo=
open,EBo=
connect,EBo=
localtime_r,EBo=
mmap,EBo=
getpid,EBo=
mkdir,EBo=
getsockname,EBo=
__cxa_atexit,EBo=
sysconf,EBo=
memcmp,EBo=
cli_parse_add,EBo=
qsort,EBo=
cli_gentemp,EBo=
cli_hashfile,EBo=
freeaddrinfo,EBo=
text_normalize_map,EBo=
syslog,EBo=
cli_wm_readdir,EBo=
cl_load,EBo=
cli_cvdunpack,EBo=
open64,EBo=
clock_gettime,EBo=
signal,EBo=
__xstat,EBo=
uniq_get,EBo=
syscall,EBo=
realloc,EBo=
rewind,EBo=
__isoc99_sscanf,EBo=
__xstat64,EBo=
localtime,EBo=
cli_str2hex,EBo=
gzclose,EBo=
strchr,EBo=
vsnprintf,EBo=
recv,EBo=
getenv,EBo=
calloc,EBo=
inet_addr,EBo=
strncpy,EBo=
shmat,EBo=
cl_engine_new,EBo=
write,EBo=
listen,EBo=
sendmsg,EBo=
fgets,EBo=
cl_hash_init,EBo=
rename,EBo=
cl_hash_destroy,EBo=
memset,EBo=
fopen64,EBo=
cli_genhash_pe,EBo=
setsid,EBo=
cli_vba_readdir,EBo=
__libc_start_main,EBo=
strrchr,EBo=
uname,EBo=
cli_hashstream,EBo=
tcgetattr,EBo=
madvise,EBo=
cli_ac_chklsig,EBo=
read,EBo=
perror,EBo=
cli_utf16toascii,EBo=
cli_regexec,EBo=
readdir,EBo=
cl_cleanup_crypto,EBo=
gettimeofday,EBo=
strtol,EBo=
fdopen,EBo=
cli_wm_decrypt_macro,EBo=
cli_chomp,EBo=
free,EBo=
__lxstat64,EBo=
gzwrite,EBo=
secure_getenv,EBo=
scanf,EBo=
cl_update_hash,EBo=
shmdt,EBo=
access,EBo=
cli_checkfp_pe,EBo=
sigaction,EBo=
fflush,EBo=
cl_cvdfree,EBo=
opendir,EBo=
accept,EBo=
ioctl,EBo=
socket,EBo=
dup2,EBo=
__ctype_b_loc,EBo=
fseek,EBo=
mprotect,EBo=
gzdopen,EBo=
getaddrinfo,EBo=
umask,EBo=
fclose,EBo=
dup,EBo=
ntohs,EBo=
readdir64,EBo=
cli_calloc,EBo=
cl_engine_free,EBo=
memcpy,EBo=
cli_regfree,EBo=
strtoul,EBo=
strlen,EBo=
fopen,EBo=
gzopen64,EBo=
unlink,EBo=
cl_cvdhead,EBo=
gai_strerror,EBo=
