_init,"[('0x8066ea4', '0x80670ae', 'OPENSSL_cpuid_setup', 'local_function', 'function'), ('0x804c050', '0x804c054', '__x86.get_pc_thunk.bx', 'local_function', 'function'), ('0x804a820', '0x804a848', '_init', 'local_function', 'function'), ('0x804b530', '0x804b536', '__gmon_start__', 'local_function', 'function')]"
sub_804a850,[]
fileno,[]
cli_regcomp,[]
fputs,[]
abort,[]
__errno_location,[]
cl_init,[]
sprintf,[]
open,[]
connect,[]
localtime_r,[]
mmap,[]
getpid,[]
mkdir,[]
getsockname,[]
__cxa_atexit,[]
sysconf,[]
memcmp,[]
cli_parse_add,[]
qsort,[]
cli_gentemp,[]
cli_hashfile,[]
freeaddrinfo,[]
text_normalize_map,[]
syslog,[]
cli_wm_readdir,[]
cl_load,[]
cli_cvdunpack,[]
open64,[]
clock_gettime,[]
signal,[]
__xstat,[]
uniq_get,[]
syscall,[]
realloc,[]
rewind,[]
__isoc99_sscanf,[]
__xstat64,[]
localtime,[]
cli_str2hex,[]
gzclose,[]
strchr,[]
vsnprintf,[]
recv,[]
getenv,[]
calloc,[]
inet_addr,[]
strncpy,[]
shmat,[]
cl_engine_new,[]
write,[]
listen,[]
sendmsg,[]
fgets,[]
cl_hash_init,[]
rename,[]
cl_hash_destroy,[]
memset,[]
fopen64,[]
cli_genhash_pe,[]
setsid,[]
cli_vba_readdir,[]
__libc_start_main,[]
strrchr,[]
uname,[]
cli_hashstream,[]
tcgetattr,[]
madvise,[]
cli_ac_chklsig,[]
read,[]
perror,[]
cli_utf16toascii,[]
cli_regexec,[]
readdir,[]
cl_cleanup_crypto,[]
gettimeofday,[]
strtol,[]
fdopen,[]
cli_wm_decrypt_macro,[]
cli_chomp,[]
free,[]
__lxstat64,[]
gzwrite,[]
secure_getenv,[]
scanf,[]
cl_update_hash,[]
shmdt,[]
access,[]
cli_checkfp_pe,[]
sigaction,[]
fflush,[]
cl_cvdfree,[]
opendir,[]
accept,[]
ioctl,[]
socket,[]
dup2,[]
__ctype_b_loc,[]
fseek,[]
mprotect,[]
gzdopen,[]
getaddrinfo,[]
umask,[]
fclose,[]
dup,[]
ntohs,[]
readdir64,[]
cli_calloc,[]
cl_engine_free,[]
memcpy,[]
cli_regfree,[]
strtoul,[]
strlen,[]
fopen,[]
gzopen64,[]
unlink,[]
cl_cvdhead,[]
gai_strerror,[]
cl_engine_set_num,[]
html_normalise_map,[]
setlocale,[]
__xpg_basename,[]
feof,[]
strcpy,[]
ftell,[]
printf,[]
chdir,[]
ctime,[]
bind,[]
atoi,[]
cli_ctime,[]
cli_ldbtokenize,[]
select,[]
cli_strbcasestr,[]
cli_rmdirs,[]
closedir,[]
close,[]
fwrite,[]
fprintf,[]
strstr,[]
cli_vba_inflate,[]
time,[]
cli_gettmpdir,[]
cli_strtokenize,[]
cli_ole2_extract,[]
cli_filecopy,[]
malloc,[]
__cmsg_nxthdr,[]
__stack_chk_fail,[]
fputc,[]
cli_initroots,[]
cl_strerror,[]
strtok,[]
cl_retdbdir,[]
sleep,[]
cl_debug,[]
strncasecmp,[]
memmove,[]
cl_finish_hash,[]
cli_fmap_scandesc,[]
getnameinfo,[]
cl_retflevel,[]
cli_hex2ui,[]
strcat,[]
send,[]
getcwd,[]
__xpg_strerror_r,[]
puts,[]
fork,[]
__fxstat64,[]
setsockopt,[]
tcsetattr,[]
fcntl,[]
gzgets,[]
strspn,[]
sscanf,[]
__fxstat,[]
gmtime,[]
memchr,[]
strncmp,[]
vfprintf,[]
cli_versig2,[]
munmap,[]
mlock,[]
strpbrk,[]
cli_isnumber,[]
fread,[]
getsockopt,[]
text_normalize_init,[]
closelog,[]
strftime,[]
cl_engine_compile,[]
snprintf,[]
strcspn,[]
strdup,[]
fmap,[]
gethostbyname,[]
ferror,[]
cl_cvdverify,[]
lseek64,[]
exit,[]
cli_hex2str,[]
cli_ppt_vba_read,[]
shmget,[]
cli_strtok,[]
text_normalize_reset,[]
__gmon_start__,[]
getentropy,[]
strcasecmp,[]
strcmp,[]
_start,"[('0x804c033', '0x804c037', 'sub_804c033', 'local_function', 'function'), ('0x804ac30', '0x804ac36', '__libc_start_main', 'local_function', 'function'), ('0x8051c40', '0x805215b', 'main', 'local_function', 'function')]"
sub_804c032,[]
sub_804c033,[]
sub_804c037,[]
_dl_relocate_static_pie,[]
sub_804c042,[]
__x86.get_pc_thunk.bx,[]
sub_804c054,[]
deregister_tm_clones,"[('0x8312228', '0x83168dc', '.bss', 'bss', 'function')]"
sub_804c087,[]
sub_804c091,"[('0x804c0a0', '0x804c0d5', 'register_tm_clones', 'local_function', 'function')]"
sub_804c093,[]
register_tm_clones,"[('UNKNOWN', -1)]"
sub_804c0d4,[]
sub_804c0d9,[]
__do_global_dtors_aux,"[('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804c060', '0x804c088', 'deregister_tm_clones', 'local_function', 'function')]"
sub_804c0fd,[]
sub_804c101,"[('0x804c110', '0x804c112', 'frame_dummy', 'local_function', 'function')]"
sub_804c103,[]
frame_dummy,"[('UNKNOWN', -1)]"
sub_804c112,[]
mdprintf,"[('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804b090', '0x804b096', 'select', 'local_function', 'function'), ('0x804af50', '0x804af56', 'strlen', 'local_function', 'function'), ('0x804ad50', '0x804ad56', 'free', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804b170', '0x804b176', 'malloc', 'local_function', 'function'), ('0x804aaf0', '0x804aaf6', 'vsnprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804a8a0', '0x804a8a6', '__errno_location', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function'), ('0x804b290', '0x804b296', 'send', 'local_function', 'function'), ('0x804c120', '0x804c3c5', 'mdprintf', 'local_function', 'function')]"
sub_804c2b2,[]
sub_804c3d3,[]
logg_close,"[('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804aec0', '0x804aec6', 'fclose', 'local_function', 'function'), ('0x804c3e0', '0x804c411', 'logg_close', 'local_function', 'function'), ('0x804c3e0', '0x804c411', 'logg_close', 'local_function', 'function'), ('0x804b420', '0x804b426', 'closelog', 'local_function', 'function')]"
sub_804c411,[]
logg,"[('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804adf0', '0x804adf6', 'fflush', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c8b0', '0x804c906', 'logg_open', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804b2c0', '0x804b2c6', 'puts', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804abf0', '0x804abf6', 'fopen64', 'local_function', 'function'), ('0x804ad40', '0x804ad46', 'cli_chomp', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804b120', '0x804b126', 'time', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804b310', '0x804b316', 'fcntl', 'local_function', 'function'), ('0x804b020', '0x804b026', 'printf', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804a860', '0x804a866', 'fileno', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804a880', '0x804a886', 'fputs', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804b070', '0x804b076', 'cli_ctime', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804a9d0', '0x804a9d6', 'syslog', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x804aeb0', '0x804aeb6', 'umask', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804b0f0', '0x804b0f6', 'fprintf', 'local_function', 'function'), ('0x804c420', '0x804c8a5', 'logg', 'local_function', 'function')]"
sub_804c8a5,[]
logg_open,"[('0x804cb60', '0x804cce8', 'rename_logg', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804c8b0', '0x804c906', 'logg_open', 'local_function', 'function'), ('0x8247290', '0x82472b3', 'stat64', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown')]"
sub_804c906,[]
mprintf,"[('UNKNOWN', -1), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('UNKNOWN', -1), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('UNKNOWN', -1), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('UNKNOWN', -1), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804c910', '0x804cb17', 'mprintf', 'local_function', 'function')]"
sub_804cb17,[]
logg_facility,"[('0x804cb20', '0x804cb5e', 'logg_facility', 'local_function', 'function'), ('0x804cb20', '0x804cb5e', 'logg_facility', 'local_function', 'function'), ('0x804b548', '0x804b54e', 'strcmp', 'local_function', 'function')]"
sub_804cb5e,[]
